municipio_codigo;municipio_nombre;sexo;lugar_nacimiento;poblacion_empadronada
001;Acebeda (La);Hombre;África;0
001;Acebeda (La);Hombre;América del Central y del Caribe;0
001;Acebeda (La);Hombre;América del Norte;0
001;Acebeda (La);Hombre;América del Sur;1
001;Acebeda (La);Hombre;Apátridas;0
001;Acebeda (La);Hombre;Asia;0
001;Acebeda (La);Hombre;Oceanía;0
001;Acebeda (La);Hombre;Otros países de América;0
001;Acebeda (La);Hombre;Resto de Europa;0
001;Acebeda (La);Hombre;Unión Europea ;36
001;Acebeda (La);Mujer;África;0
001;Acebeda (La);Mujer;América del Central y del Caribe;0
001;Acebeda (La);Mujer;América del Norte;0
001;Acebeda (La);Mujer;América del Sur;0
001;Acebeda (La);Mujer;Apátridas;0
001;Acebeda (La);Mujer;Asia;0
001;Acebeda (La);Mujer;Oceanía;0
001;Acebeda (La);Mujer;Otros países de América;0
001;Acebeda (La);Mujer;Resto de Europa;0
001;Acebeda (La);Mujer;Unión Europea ;29
002;Ajalvir;Hombre;África;41
002;Ajalvir;Hombre;América del Central y del Caribe;37
002;Ajalvir;Hombre;América del Norte;16
002;Ajalvir;Hombre;América del Sur;102
002;Ajalvir;Hombre;Apátridas;0
002;Ajalvir;Hombre;Asia;6
002;Ajalvir;Hombre;Oceanía;1
002;Ajalvir;Hombre;Otros países de América;0
002;Ajalvir;Hombre;Resto de Europa;7
002;Ajalvir;Hombre;Unión Europea ;2116
002;Ajalvir;Mujer;África;32
002;Ajalvir;Mujer;América del Central y del Caribe;44
002;Ajalvir;Mujer;América del Norte;16
002;Ajalvir;Mujer;América del Sur;92
002;Ajalvir;Mujer;Apátridas;0
002;Ajalvir;Mujer;Asia;10
002;Ajalvir;Mujer;Oceanía;1
002;Ajalvir;Mujer;Otros países de América;0
002;Ajalvir;Mujer;Resto de Europa;14
002;Ajalvir;Mujer;Unión Europea ;1919
003;Alameda del Valle;Hombre;África;0
003;Alameda del Valle;Hombre;América del Central y del Caribe;0
003;Alameda del Valle;Hombre;América del Norte;0
003;Alameda del Valle;Hombre;América del Sur;3
003;Alameda del Valle;Hombre;Apátridas;0
003;Alameda del Valle;Hombre;Asia;0
003;Alameda del Valle;Hombre;Oceanía;0
003;Alameda del Valle;Hombre;Otros países de América;0
003;Alameda del Valle;Hombre;Resto de Europa;0
003;Alameda del Valle;Hombre;Unión Europea ;114
003;Alameda del Valle;Mujer;África;1
003;Alameda del Valle;Mujer;América del Central y del Caribe;0
003;Alameda del Valle;Mujer;América del Norte;1
003;Alameda del Valle;Mujer;América del Sur;2
003;Alameda del Valle;Mujer;Apátridas;0
003;Alameda del Valle;Mujer;Asia;0
003;Alameda del Valle;Mujer;Oceanía;0
003;Alameda del Valle;Mujer;Otros países de América;0
003;Alameda del Valle;Mujer;Resto de Europa;0
003;Alameda del Valle;Mujer;Unión Europea ;78
004;Alamo (El);Hombre;África;279
004;Alamo (El);Hombre;América del Central y del Caribe;44
004;Alamo (El);Hombre;América del Norte;3
004;Alamo (El);Hombre;América del Sur;178
004;Alamo (El);Hombre;Apátridas;0
004;Alamo (El);Hombre;Asia;25
004;Alamo (El);Hombre;Oceanía;1
004;Alamo (El);Hombre;Otros países de América;0
004;Alamo (El);Hombre;Resto de Europa;16
004;Alamo (El);Hombre;Unión Europea ;4005
004;Alamo (El);Mujer;África;198
004;Alamo (El);Mujer;América del Central y del Caribe;66
004;Alamo (El);Mujer;América del Norte;7
004;Alamo (El);Mujer;América del Sur;215
004;Alamo (El);Mujer;Apátridas;0
004;Alamo (El);Mujer;Asia;24
004;Alamo (El);Mujer;Oceanía;0
004;Alamo (El);Mujer;Otros países de América;0
004;Alamo (El);Mujer;Resto de Europa;17
004;Alamo (El);Mujer;Unión Europea ;4069
005;Alcalá de Henares;Hombre;África;2144
005;Alcalá de Henares;Hombre;América del Central y del Caribe;897
005;Alcalá de Henares;Hombre;América del Norte;227
005;Alcalá de Henares;Hombre;América del Sur;3302
005;Alcalá de Henares;Hombre;Apátridas;0
005;Alcalá de Henares;Hombre;Asia;936
005;Alcalá de Henares;Hombre;Oceanía;15
005;Alcalá de Henares;Hombre;Otros países de América;0
005;Alcalá de Henares;Hombre;Resto de Europa;917
005;Alcalá de Henares;Hombre;Unión Europea ;86439
005;Alcalá de Henares;Mujer;África;1614
005;Alcalá de Henares;Mujer;América del Central y del Caribe;1363
005;Alcalá de Henares;Mujer;América del Norte;264
005;Alcalá de Henares;Mujer;América del Sur;3943
005;Alcalá de Henares;Mujer;Apátridas;0
005;Alcalá de Henares;Mujer;Asia;1189
005;Alcalá de Henares;Mujer;Oceanía;9
005;Alcalá de Henares;Mujer;Otros países de América;0
005;Alcalá de Henares;Mujer;Resto de Europa;1121
005;Alcalá de Henares;Mujer;Unión Europea ;89929
006;Alcobendas;Hombre;África;1012
006;Alcobendas;Hombre;América del Central y del Caribe;1201
006;Alcobendas;Hombre;América del Norte;379
006;Alcobendas;Hombre;América del Sur;4525
006;Alcobendas;Hombre;Apátridas;0
006;Alcobendas;Hombre;Asia;888
006;Alcobendas;Hombre;Oceanía;14
006;Alcobendas;Hombre;Otros países de América;0
006;Alcobendas;Hombre;Resto de Europa;442
006;Alcobendas;Hombre;Unión Europea ;46745
006;Alcobendas;Mujer;África;853
006;Alcobendas;Mujer;América del Central y del Caribe;1961
006;Alcobendas;Mujer;América del Norte;451
006;Alcobendas;Mujer;América del Sur;6066
006;Alcobendas;Mujer;Apátridas;0
006;Alcobendas;Mujer;Asia;966
006;Alcobendas;Mujer;Oceanía;12
006;Alcobendas;Mujer;Otros países de América;0
006;Alcobendas;Mujer;Resto de Europa;672
006;Alcobendas;Mujer;Unión Europea ;48677
007;Alcorcón;Hombre;África;2001
007;Alcorcón;Hombre;América del Central y del Caribe;730
007;Alcorcón;Hombre;América del Norte;93
007;Alcorcón;Hombre;América del Sur;3623
007;Alcorcón;Hombre;Apátridas;0
007;Alcorcón;Hombre;Asia;747
007;Alcorcón;Hombre;Oceanía;25
007;Alcorcón;Hombre;Otros países de América;0
007;Alcorcón;Hombre;Resto de Europa;996
007;Alcorcón;Hombre;Unión Europea ;73017
007;Alcorcón;Mujer;África;1563
007;Alcorcón;Mujer;América del Central y del Caribe;1158
007;Alcorcón;Mujer;América del Norte;125
007;Alcorcón;Mujer;América del Sur;4574
007;Alcorcón;Mujer;Apátridas;0
007;Alcorcón;Mujer;Asia;686
007;Alcorcón;Mujer;Oceanía;17
007;Alcorcón;Mujer;Otros países de América;0
007;Alcorcón;Mujer;Resto de Europa;1189
007;Alcorcón;Mujer;Unión Europea ;77593
008;Aldea del Fresno;Hombre;África;124
008;Aldea del Fresno;Hombre;América del Central y del Caribe;6
008;Aldea del Fresno;Hombre;América del Norte;3
008;Aldea del Fresno;Hombre;América del Sur;40
008;Aldea del Fresno;Hombre;Apátridas;0
008;Aldea del Fresno;Hombre;Asia;7
008;Aldea del Fresno;Hombre;Oceanía;0
008;Aldea del Fresno;Hombre;Otros países de América;0
008;Aldea del Fresno;Hombre;Resto de Europa;6
008;Aldea del Fresno;Hombre;Unión Europea ;1191
008;Aldea del Fresno;Mujer;África;99
008;Aldea del Fresno;Mujer;América del Central y del Caribe;5
008;Aldea del Fresno;Mujer;América del Norte;1
008;Aldea del Fresno;Mujer;América del Sur;40
008;Aldea del Fresno;Mujer;Apátridas;0
008;Aldea del Fresno;Mujer;Asia;5
008;Aldea del Fresno;Mujer;Oceanía;0
008;Aldea del Fresno;Mujer;Otros países de América;0
008;Aldea del Fresno;Mujer;Resto de Europa;9
008;Aldea del Fresno;Mujer;Unión Europea ;1080
009;Algete;Hombre;África;142
009;Algete;Hombre;América del Central y del Caribe;112
009;Algete;Hombre;América del Norte;46
009;Algete;Hombre;América del Sur;543
009;Algete;Hombre;Apátridas;0
009;Algete;Hombre;Asia;185
009;Algete;Hombre;Oceanía;0
009;Algete;Hombre;Otros países de América;0
009;Algete;Hombre;Resto de Europa;47
009;Algete;Hombre;Unión Europea ;9047
009;Algete;Mujer;África;117
009;Algete;Mujer;América del Central y del Caribe;148
009;Algete;Mujer;América del Norte;77
009;Algete;Mujer;América del Sur;677
009;Algete;Mujer;Apátridas;0
009;Algete;Mujer;Asia;96
009;Algete;Mujer;Oceanía;5
009;Algete;Mujer;Otros países de América;0
009;Algete;Mujer;Resto de Europa;67
009;Algete;Mujer;Unión Europea ;9110
010;Alpedrete;Hombre;África;91
010;Alpedrete;Hombre;América del Central y del Caribe;51
010;Alpedrete;Hombre;América del Norte;32
010;Alpedrete;Hombre;América del Sur;249
010;Alpedrete;Hombre;Apátridas;0
010;Alpedrete;Hombre;Asia;28
010;Alpedrete;Hombre;Oceanía;1
010;Alpedrete;Hombre;Otros países de América;0
010;Alpedrete;Hombre;Resto de Europa;21
010;Alpedrete;Hombre;Unión Europea ;6507
010;Alpedrete;Mujer;África;65
010;Alpedrete;Mujer;América del Central y del Caribe;77
010;Alpedrete;Mujer;América del Norte;43
010;Alpedrete;Mujer;América del Sur;309
010;Alpedrete;Mujer;Apátridas;0
010;Alpedrete;Mujer;Asia;43
010;Alpedrete;Mujer;Oceanía;3
010;Alpedrete;Mujer;Otros países de América;0
010;Alpedrete;Mujer;Resto de Europa;37
010;Alpedrete;Mujer;Unión Europea ;6683
011;Ambite;Hombre;África;21
011;Ambite;Hombre;América del Central y del Caribe;0
011;Ambite;Hombre;América del Norte;0
011;Ambite;Hombre;América del Sur;8
011;Ambite;Hombre;Apátridas;0
011;Ambite;Hombre;Asia;22
011;Ambite;Hombre;Oceanía;1
011;Ambite;Hombre;Otros países de América;0
011;Ambite;Hombre;Resto de Europa;22
011;Ambite;Hombre;Unión Europea ;278
011;Ambite;Mujer;África;3
011;Ambite;Mujer;América del Central y del Caribe;3
011;Ambite;Mujer;América del Norte;0
011;Ambite;Mujer;América del Sur;7
011;Ambite;Mujer;Apátridas;0
011;Ambite;Mujer;Asia;17
011;Ambite;Mujer;Oceanía;0
011;Ambite;Mujer;Otros países de América;0
011;Ambite;Mujer;Resto de Europa;21
011;Ambite;Mujer;Unión Europea ;274
012;Anchuelo;Hombre;África;1
012;Anchuelo;Hombre;América del Central y del Caribe;3
012;Anchuelo;Hombre;América del Norte;0
012;Anchuelo;Hombre;América del Sur;18
012;Anchuelo;Hombre;Apátridas;0
012;Anchuelo;Hombre;Asia;1
